text_raw,text_lemma,classe_real,classe_prevista,acerto
Produto inovador no que se refere ao que eu tinha antes. O produto veio a unir a praticidade utilidade e facilidade no executar as tarefas com qualidade no que se refere ao desmonte do mesmo para limpeza.,produto inovador referir ter produto vir unir praticidade utilidade facilidade executar tarefa qualidade referir desmonte limpeza,positivo,negativo,False
Ainda não usei.. Ainda não. usei. Vou mudar para minha casa nova. Gostei da cor.,usar usar mudar casa gostar cor,positivo,negativo,False
"Muito bom.. Compre a TV, Smart Philco, você verá o que merece ...",compre smart philco ver merecer,positivo,negativo,False
"Igual ao da foto. Copo simples, porém bonito assim como na foto, chegou em perfeito estado, sem quaisquer reclamação e claro que eu recomendo não somente o produto, mas também comprar pelas Americanas!",igual foto copo simples bonito foto chegar perfeito reclamação claro recomendar produto comprar americana,positivo,negativo,False
Duvidosa. Estou com medo de n VM certo o produto.. me ajudem,duvidoso medo produto ajudar,negativo,positivo,False
"Lindo droid BB8. Fiel ao original, cabeça articulada (gira, para frente e para trás) Acompanha acessórios!",lir droid fiel original cabeça articular gira frente trás acompanhar acessório,positivo,negativo,False
"Não gostei. Na descrição do produto dizia que ele limpa as paredes ou laterais, porém ele limpa até certo ponto, o robô não alcança toda a lateral.",gostar descrição produto dizer limpa parede lateral limpa robô alcançar lateral,negativo,positivo,False
"bom. sem alteração , muito bom mesmo , foi eu que escolhi dentro da configuração",alteração escolher configuração,positivo,negativo,False
Muito bom. Produto bom e entrega rapiada ~PHJTDPINHGIDTNHGINOINGIERNGIOBOG´0DJGH0DGHINDPIGBPI\NPIGIJERIHG\SRNBGPNEPONBPOTZSNBP \DPN BIOP\E RVIP \PIS VIOAE HBIADPOBAETPNHPSRNBÇFDA\ VB PEAJGPOATEJG-OTARJ COLOQUEI ISTO PORQUE DISSE QUE O TESTO ERA MUITO CURTO,produto entregar rapiar phjtdpinhgidtnhginoingierngiobog djgh dghindpigbpi npigijerihg biop rvip pis vioae hbiadpobaetpnhpsrnbçfda peajgpoatejgr otarj coloquei dizer testo curto,positivo,negativo,False
aparador muito bom. O aparador atende bem às necessidades das pessoas que tem barba pois permite não só fazer os contornos como tambem diminuir o comprimento .,aparador aparador atender necessidade pessoa barba permitir contorno tamber diminuir comprimento,positivo,negativo,False
"Controle remoto precário. Não fiquei satisfeita com o CONTROLE REMOTO do aparelho. É precário, tem má qualidade e as funções de comando são bastante complicadas principalmente se comparadas aos controles das TVs Samsung, Sony, LG (tenho em minha casa) e outros que já tive.",controle remoto precário fiquei satisfeito controle remoto aparelho precário qualidade função comando complicado principalmente comparar controles tvs samsung sony casa,negativo,positivo,False
Xícaras lindinhas. Só usamos 2 vezes mas parece muito boa. Pelo preço então.... xícaras muito lindinhas. Estou satisfeito.,xícara lindinho usar preço xícara lindinho satisfeito,positivo,negativo,False
"muito bom...... rápida entrega, produto em conformidade com as especificações",rápida entregar produto conformidade especificação,positivo,negativo,False
Achei mediano.. Não vi grande ultilidade ainda. Para quem quer uar o basico até dá. Falta ainda muito para compensar o custo do aparelho.,achar mediano ver ultilidade uar basico compensar custo aparelho,negativo,positivo,False
"Igual da foto. Gostei do produto, veio exatamente como na foto apresentada.",igual foto gostar produto vir exatamente foto apresentar,positivo,negativo,False
"Muito boa. Já tinha durou mais de 05 anos, com a mudança de imóvel apresentou problema, comprei outro agora, recomendo muito bom.",ter durar ano mudança imóvel apresentar problema comprei recomendar,positivo,negativo,False
"Uso para espelho. Muito Bom. gosto para cortar espelhos, é preciso pegar o jeito para usar senão fica torto.",uso espelho gosto cortar espelhos preciso jeito senão ficar torto,positivo,negativo,False
................................................... Não Gostei..............................................................................................................................................................................................................................................................................................................,gostar,negativo,positivo,False
"Bateria duravel. chegou uns dias antes da data estipulada, tava previsto pro dia 12/04 mas aumentou pra 16/04 e cabei recebendo no dia 10/04 as 1 hora da tarde. A bateria é boa, duravél e mais leve q original. cabo é meio grande não tive problema!",bateria duravel chegar dia data estipular tar prever dia aumentar cabei receber dia hora bateria duravél levar original cabo problema,positivo,negativo,False
"Não gostei do produto. Até agora ele não pegou nenhuma mosca, apenas pequenos insetos",gostar produto pegar mosca pequeno inseto,negativo,positivo,False
"Muito bom. A imagem é muito boa, assim como o sinal de wifi também.",imagem sinal wifi,positivo,negativo,False
Gostei. Boa fixação. Perfume com fragrância cítrica ao passar em segundos suaviza. Me agradou.,gostar fixação perfumir fragrância cítrico passar segundo suavizar agradar,positivo,negativo,False
"Bom. Achei que me decepcionaria com o produto, mas gostei.",achar decepcionar produto gostar,positivo,negativo,False
"avaliação TV. Eu esperava um produto excelente, porém a imagem da minha TV não é nítida, é chuviscada e eu já coloquei antena para melhorar a imagem más não foi suficiente, o que devo fazer?",avaliação esperar produto excelente imagem nítido chuviscar coloquei antena melhorar imagem suficiente dever,negativo,positivo,False
"Enganação. Promete carga rápida, mas não faz o básico que é carregar.",enganação prometer carga rápido básico carregar,negativo,positivo,False
Aparencia. no sit o produto aparentava ser melhor do que na realidade é.,aparencer sit produto aparentar bom realidade,negativo,positivo,False
"Boa compra. A adega entrega o que foi esperado, por um preço bem razoavel",compra adega entregar esperar preço razoavel,positivo,negativo,False
Bom. Fiz a Primeira sessão não posso falar pois ainda não tivesse resultados o resultado é a longo prazo mas estou muito satisfeita pela compra queria muito esse aparelho espero valer a pena,fiz sessão falar ter resultado resultado longo prazo satisfeito compra querer aparelho esperar valer pena,positivo,negativo,False
"Compra tapetes. Muito bonito comprei 2 unidades para escritorio e nao me arrependo, parabens ao site.",compra tapete bonito comprar unidade escritorio arreper parabem site,positivo,negativo,False
"Perda de peso. Com uma semana já da pra notar a eficácia do produto! Regula bem o intestino, aliás, até demais kkk Pra quem quer perder peso esse é o produto",perda peso semana notar eficácia produto regular intestino aliás kkk perder peso produto,positivo,negativo,False
Não gostei. Passadeira não passa nem a roupa mas fácil que tiver.,gostar passadeira passar roupa fácil ter,negativo,positivo,False
"NÃO GOSTEI. ESTE APARELHO NÃO ATENDEU AS MINHAS EXPECTATIVAS, POR ISSO FIZ A DEVOLUÇÃO.",gostar aparelho atender expectativa fiz devolução,negativo,positivo,False
"Chave Curvadora de tubo. Na foto parece uma ferramenta ótima, mas na real é muito simples.",chave curvadora tubo foto ferramenta ótimo real simples,negativo,positivo,False
"Não atendeu. Preciso da troca do produto, o braço não atende meu espaço.",atender preciso troca produto braço atender espaço,negativo,positivo,False
Não gostei do produto. Não gostei do produto. Comprei dois notebooks dessa marca e os dois vieram com defeito.,gostar produto gostar produto comprei notebooks marca vier defeito,negativo,positivo,False
"Bom. Negociei e recebi 5% de desconto, estou muito Feliz, por comprar essa chave, pois com ela eu pude apertar o ultimo parafuso que faltava da minha maquina do tempo",negociei recebi desconto feliz comprar chave pude apertar ultimo parafuso faltar maquina,positivo,negativo,False
Não valeu a pena. Me arrependo de ter comprado se eu pudesse voltar atrás não compraria,valer pena arreper comprar poder voltar comprariar,negativo,positivo,False
