doc_id,entity_text,entity_label
0,PRODUTO,ORG
0,ESTÁ AGRADANDO É A AMERICANAS,MISC
0,PRODUTO,ORG
0,ATÉ SER,MISC
0,A AMERICANAS,MISC
0,AMERICANAS,ORG
0,EMPRESA,MISC
0,ÚLTIMA COMPRA,ORG
0,EFETUEI,MISC
0,A AMERICANAS COLOCOU,MISC
0,DIRECT,MISC
0,ME CAUSARAM,MISC
0,PROBLEMAS PARA ENTREGAR,MISC
0,PRODUTO,ORG
0,OCASIÃO ERA UM CELULAR,MISC
0,RECLAME AQUI,MISC
0,ME AJUDAR,MISC
0,FÁCIL!!!!,MISC
0,COMPRAR,ORG
0,Cuecas Boxer de Cotton,PER
0,Polo,PER
0,NÃO SEI SE,MISC
0,PROBLEMAS NOVAMENTE,MISC
0,COMPLICADO!,MISC
2,O custo benefício,MISC
4,Amei,PER
4,Praticidade,MISC
5,Gostei,LOC
18,bom....................................................................................................................................,LOC
22,Gostei,LOC
24,Quero,PER
25,Quero,PER
31,PELÍCULA,MISC
35,Zero,PER
35,Vou,LOC
35,China,LOC
36,PÉSSIMA ENTREGA,MISC
36,ATRASO TOTAL,ORG
36,NÃO,ORG
36,A NINGUEM,MISC
42,Comprei,PER
43,Gostei,LOC
44,Gostei,LOC
48,Bíblia,MISC
48,A LETRA MAIOR,MISC
53,Ótimo Gostei,PER
53,Ceição Soares,PER
54,Ótimo,LOC
55,Entrega,LOC
57,comprei,PER
58,Escrevi 100,MISC
59,BASTÃO,LOC
63,Americanas,LOC
63,Nao,MISC
64,monitor,MISC
64,windows 10,MISC
65,2ª Edição?,MISC
65,Presente Matemática,ORG
66,São Otimos,PER
68,Americanas,LOC
68,Pior,PER
69,comprei meusmartfone,PER
72,Obg,PER
73,DIAS DE COMPRA,MISC
73,AINDA,ORG
73,PRODUTO,ORG
73,VOU,ORG
73,PRODUTO,ORG
73,DIAS,MISC
73,COMPREI,ORG
73,E ATÉ AGORA,ORG
73,ÚNICA INFORMAÇÃO,MISC
73,O MESMO,MISC
74,Propaganda,LOC
77,Relógio,PER
77,Algarismos Grande,LOC
80,vcs,LOC
83,China,LOC
83,Curitiba,LOC
84,Samsung,ORG
91,Gostei,LOC
95,Usei,PER
97,IMPRESSORA,MISC
97,MUITO EFICIENTE,MISC
97,PRATICA OCUPA POUCO ESPAÇA,ORG
97,TANTA VARIEDADE,MISC
97,FUNÇÕES,ORG
98,SANSUMG DISPENSA COMENTARIOS,MISC
98,RECOMENDO,LOC
114,Olha,LOC
117,Amador,MISC
118,CÂMERA,MISC
118,PRODUTO,ORG
119,EMPRESA AMERICANAS.COM,MISC
119,A TROCA,MISC
119,DANIFICADO!,MISC
119,RECEBI,ORG
119,PRODUTO,ORG
119,JANEIRO DE 2018,MISC
119,FUI UTILIZAR,MISC
119,QUANDO ABRI,MISC
119,TRISTE SURPRESA,MISC
119,A TELA ESTAVA QUEBRADA,MISC
119,A AMERICANAS.COM SE NEGA,MISC
119,A FAZER,MISC
119,TROCA,MISC
119,ESTANDO,PER
119,PRAZO,ORG
119,CONSUMIDOR,ORG
119,AINDA,ORG
119,INFORMADO,MISC
119,TENHO,ORG
119,CAIXA,ORG
119,AS FITAS DE SEGURANÇA,MISC
119,ASSIM,MISC
119,A FAZER,MISC
119,TROCA,MISC
120,ENCOMENDA,ORG
120,CHEGOU,ORG
120,A LOJA É UMA BELA PORCARIA,MISC
121,Eletrolux,ORG
121,Eletrolux,ORG
122,MELHOR,ORG
122,SUJEIRA,ORG
122,DEIXA DE FAZER...,MISC
122,MAIS,ORG
122,TODOS OS TIPOS,MISC
122,PEIXE,ORG
122,FRANGO,ORG
122,LINGUIÇA,ORG
122,ATÉ NUGTS,LOC
122,BATATINHAS DE CARINHAS EU ASSO NELA!,MISC
123,PRANCHA NÃO ALISA,MISC
123,PRANCHA NÃO CHAPA,MISC
123,CABELO,ORG
123,A LAMINA,MISC
123,NÃO PRENSA,ORG
123,CABELO PARA ALISAR,ORG
123,VEIO,MISC
123,DEFEITO,MISC
124,HOMEM DE FERRO ORIGINAL,MISC
124,VESTIR,LOC
124,VOANDO,LOC
124,KAMERAMERA,MISC
125,TAMPA VEIO TODA QUEBRADA,MISC
125,PRESENTE MOMENTO NENHUMA DAS LOJAS TOMARAM,MISC
