doc_id,pattern,n_matches,sentiment_label,category_lv1_clean,brand_clean
0,entrega_logistica,1,misto,Moda,não informado
0,qualidade_produto,1,misto,Moda,não informado
1,qualidade_produto,1,positivo,Celulares e Smartphones,não informado
1,preco_valor,1,positivo,Celulares e Smartphones,não informado
2,preco_valor,1,negativo,Câmeras e Filmadoras,não informado
3,qualidade_produto,1,misto,Livros,não informado
4,entrega_logistica,1,positivo,Bebês,não informado
4,qualidade_produto,1,positivo,Bebês,não informado
5,entrega_logistica,2,positivo,TV e Home Theater,não informado
6,qualidade_produto,1,misto,Beleza e Perfumaria,wahl
8,qualidade_produto,1,negativo,Celulares e Smartphones,não informado
16,entrega_logistica,2,negativo,Relógios,casio
17,defeito_funcionamento,1,misto,Móveis,não informado
18,qualidade_produto,1,positivo,TV e Home Theater,não informado
19,entrega_logistica,1,misto,Livros,não informado
19,qualidade_produto,1,misto,Livros,não informado
21,entrega_logistica,1,negativo,Informática,não informado
22,preco_valor,1,positivo,"Cama, Mesa e Banho",não informado
31,qualidade_produto,2,misto,Celulares e Smartphones,não informado
32,atendimento_suporte,1,negativo,Eletroportáteis,philco
34,entrega_logistica,1,negativo,Papelaria,não informado
34,qualidade_produto,1,negativo,Papelaria,não informado
34,anuncio_descricao,2,negativo,Papelaria,não informado
35,entrega_logistica,2,negativo,Brinquedos,não informado
35,preco_valor,2,negativo,Brinquedos,não informado
36,entrega_logistica,2,negativo,Celulares e Smartphones,não informado
36,qualidade_produto,1,negativo,Celulares e Smartphones,não informado
37,entrega_logistica,3,negativo,Ferramentas e Jardim,não informado
38,qualidade_produto,1,positivo,Celulares e Smartphones,samsung
39,qualidade_produto,1,misto,Filmes e Séries,não informado
40,qualidade_produto,1,misto,Móveis,não informado
41,entrega_logistica,2,positivo,Celulares e Smartphones,lg
41,qualidade_produto,1,positivo,Celulares e Smartphones,lg
42,entrega_logistica,2,positivo,Móveis,não informado
42,qualidade_produto,1,positivo,Móveis,não informado
43,entrega_logistica,2,positivo,Eletroportáteis,não informado
44,qualidade_produto,3,positivo,Moda,não informado
45,entrega_logistica,1,positivo,TV e Home Theater,não informado
45,qualidade_produto,1,positivo,TV e Home Theater,não informado
46,entrega_logistica,1,positivo,Games,não informado
46,qualidade_produto,1,positivo,Games,não informado
47,qualidade_produto,1,positivo,TV e Home Theater,não informado
49,qualidade_produto,1,positivo,Celulares e Smartphones,lg
49,atendimento_suporte,1,positivo,Celulares e Smartphones,lg
50,qualidade_produto,1,positivo,Eletroportáteis,cadence
51,qualidade_produto,1,positivo,TV e Home Theater,não informado
52,entrega_logistica,2,positivo,Câmeras e Filmadoras,sandisk
53,qualidade_produto,1,positivo,Celulares e Smartphones,samsung
54,entrega_logistica,1,positivo,"Cama, Mesa e Banho",não informado
54,qualidade_produto,1,positivo,"Cama, Mesa e Banho",não informado
55,entrega_logistica,1,positivo,Celulares e Smartphones,não informado
55,qualidade_produto,1,positivo,Celulares e Smartphones,não informado
57,qualidade_produto,1,positivo,Brinquedos,calesita
59,qualidade_produto,1,positivo,Livros,não informado
