source,target,source_label,target_label,relation,weight
sentimento::positivo,padrao::qualidade_produto,positivo,qualidade_produto,padrao_sentimento,1961
categoria::Celulares e Smartphones,padrao::qualidade_produto,Celulares e Smartphones,qualidade_produto,categoria_padrao,971
sentimento::positivo,padrao::entrega_logistica,positivo,entrega_logistica,padrao_sentimento,931
categoria::Celulares e Smartphones,sentimento::positivo,Celulares e Smartphones,positivo,categoria_sentimento,744
padrao::entrega_logistica,sentimento::negativo,entrega_logistica,negativo,padrao_sentimento,721
categoria::Celulares e Smartphones,padrao::entrega_logistica,Celulares e Smartphones,entrega_logistica,categoria_padrao,576
padrao::qualidade_produto,sentimento::negativo,qualidade_produto,negativo,padrao_sentimento,547
padrao::qualidade_produto,categoria::Eletroportáteis,qualidade_produto,Eletroportáteis,categoria_padrao,534
sentimento::positivo,categoria::Eletroportáteis,positivo,Eletroportáteis,categoria_sentimento,446
categoria::Celulares e Smartphones,sentimento::negativo,Celulares e Smartphones,negativo,categoria_sentimento,429
sentimento::negativo,padrao::defeito_funcionamento,negativo,defeito_funcionamento,padrao_sentimento,426
sentimento::positivo,padrao::preco_valor,positivo,preco_valor,padrao_sentimento,388
padrao::qualidade_produto,categoria::Beleza e Perfumaria,qualidade_produto,Beleza e Perfumaria,categoria_padrao,382
padrao::qualidade_produto,categoria::Utilidades Domésticas,qualidade_produto,Utilidades Domésticas,categoria_padrao,364
categoria::Celulares e Smartphones,marca::samsung,Celulares e Smartphones,samsung,categoria_marca,332
padrao::qualidade_produto,categoria::TV e Home Theater,qualidade_produto,TV e Home Theater,categoria_padrao,322
padrao::qualidade_produto,categoria::Informática e Acessórios,qualidade_produto,Informática e Acessórios,categoria_padrao,312
sentimento::positivo,categoria::Beleza e Perfumaria,positivo,Beleza e Perfumaria,categoria_sentimento,296
sentimento::negativo,categoria::Móveis,negativo,Móveis,categoria_sentimento,292
padrao::entrega_logistica,categoria::Móveis,entrega_logistica,Móveis,categoria_padrao,290
padrao::qualidade_produto,categoria::Móveis,qualidade_produto,Móveis,categoria_padrao,273
sentimento::positivo,categoria::Utilidades Domésticas,positivo,Utilidades Domésticas,categoria_sentimento,266
categoria::Celulares e Smartphones,padrao::preco_valor,Celulares e Smartphones,preco_valor,categoria_padrao,260
sentimento::negativo,padrao::atendimento_suporte,negativo,atendimento_suporte,padrao_sentimento,259
padrao::entrega_logistica,categoria::Eletroportáteis,entrega_logistica,Eletroportáteis,categoria_padrao,243
