arquivo,existe,tamanho_kb
data/raw/repro_raw.csv,True,4256.69
data/interim/repro_base.csv,True,4916.69
data/interim/metadata_repro.json,True,0.8
data/processed/repro_preprocessed.csv,True,20902.56
outputs/tables/section_1_vocab_impact.csv,True,0.2
outputs/tables/section_2_vectorization_summary.csv,True,0.22
outputs/tables/section_2_search_results.csv,True,8.86
outputs/tables/section_3_model_metrics.csv,True,0.39
outputs/tables/section_4_graph_centrality.csv,True,2.33
outputs/tables/section_4_negative_pattern_summary.csv,True,0.45
outputs/figures/section_1_document_length_histogram.png,True,90.91
outputs/figures/section_1_wordcloud_lemma.png,True,2279.31
outputs/figures/section_2_search_score_summary.png,True,134.43
outputs/figures/section_3_best_model_confusion_matrix.png,True,59.11
outputs/figures/section_4_knowledge_graph.png,True,1082.0
outputs/models/section_3_best_sentiment_classifier.joblib,True,234.47
outputs/graphs/section_4_knowledge_graph.gexf,True,30.92
requirements.txt,True,0.17
README.md,True,2.46
